Timestamp,Source,Headline
"06/10/2021, 11:21:28",Financial Times,Global banking regulator urges toughest capital rules for crypto
"06/10/2021, 11:21:28",Financial Times,A king’s vaccine: Thailand’s struggle to deliver jabs to its people
"06/10/2021, 11:21:28",Financial Times,Coronavirus latest: UK health secretary Matt Hancock calls for rethink on global border policies
"06/10/2021, 11:21:28",Financial Times,Biden-Johnson talks undermined by ‘deep concerns’ over Northern Ireland
"06/10/2021, 11:21:28",Financial Times,Altice bets on UK fibre with £2bn BT stake
"06/10/2021, 11:21:28",Financial Times,James Biden abandons UK energy venture after White House review
"06/10/2021, 11:21:28",Financial Times,Down and out in Chinese tech
"06/10/2021, 11:21:28",Financial Times,Lurching towards a new era in freedom of movement
"06/10/2021, 11:21:28",Financial Times,Amazon’s landlord doubles down on vast ecommerce warehouses
"06/10/2021, 11:21:28",Financial Times,Live Q&A: What does the G7 tax deal mean for multinational companies?
"06/10/2021, 11:21:28",Financial Times,Departure of Deutsche executives linked to alleged mis-selling probe 
"06/10/2021, 11:21:28",Financial Times,Johnson examines partial lifting of England lockdown restrictions
"06/10/2021, 11:21:28",Financial Times,BioNTech prepares expansion into Africa alongside EU  
"06/10/2021, 11:21:28",Financial Times,Oatly takes Cambridgeshire family farm to court in trademark dispute
"06/10/2021, 11:21:28",Financial Times,US consumer prices expected to have accelerated their climb in May
"06/10/2021, 11:21:28",Financial Times,Schools in England struggle to contain rising Covid variant
"06/10/2021, 11:21:28",Financial Times,US to donate 500m doses of Pfizer’s Covid vaccine
"06/10/2021, 11:21:28",Financial Times,White-collar workers increasingly demand flexibility on conditions
"06/10/2021, 11:21:28",Financial Times,Drug traffickers change tactics to avoid Covid-19 travel curbs
"06/10/2021, 11:21:28",Financial Times,Competition regulator probes Ryanair and BA over refund refusals
"06/10/2021, 11:21:28",Financial Times,Coronavirus tracker: the latest figures as countries fight the Covid-19 resurgence
"06/10/2021, 11:21:28",Financial Times,Women take half of new UK board seats
"06/10/2021, 11:21:28",Financial Times,"Sexual harassment the norm for most pupils in England, official report finds"
"06/10/2021, 11:21:28",Financial Times,‘Unlawful’ barracks raise fresh fears over UK’s treatment of migrants 
"06/10/2021, 11:21:28",Financial Times,Record profits for CMC Markets after online trading surges
"06/10/2021, 11:21:28",Financial Times,Biden to press Johnson to end bitter Northern Ireland stand-off
"06/10/2021, 11:21:28",Financial Times,China’s producer prices rise at fastest pace in 13 years
"06/10/2021, 11:21:28",Financial Times,Covid outbreak in China sparks fears of trade disruption 
"06/10/2021, 11:21:28",Financial Times,Biden rallies allies to take tougher stance on China
"06/10/2021, 11:21:28",Financial Times,US financial regulator warns against strict cryptocurrency rules
"06/10/2021, 11:21:28",Financial Times,The future of American democracy
"06/10/2021, 11:21:28",Financial Times,Unnecessary aid cut is the price of rebuilding Tory financial discipline
"06/10/2021, 11:21:28",Financial Times,Covid lab-leak theory shows the ‘fact wars’ are still raging
"06/10/2021, 11:21:28",Financial Times,Curbing Iran’s regional ambitions remains a distant hope for the west
"06/10/2021, 11:21:28",Financial Times,"Governments should tax cash flow, not global corporate income  "
"06/10/2021, 11:21:28",Financial Times,Gold under the new regime
"06/10/2021, 11:21:28",Financial Times,The million pound pension problem
"06/10/2021, 11:21:28",Financial Times,Europe’s weaknesses to be exposed over long term  
"06/10/2021, 11:21:28",Financial Times,The US needs a little nudge theory to boost its jab campaign
"06/10/2021, 11:21:28",Financial Times,European airlines step up lobbying against EU climate rules
"06/10/2021, 11:21:28",Financial Times,Keystone XL pipeline cancelled after Biden scraps US permit
"06/10/2021, 11:21:28",Financial Times,Shell to speed up energy transition plan after Dutch court ruling
"06/10/2021, 11:21:28",Financial Times,"Developing nations need boost to clean energy funds, says IEA"
"06/10/2021, 11:21:28",Financial Times,"Cheaper electric car batteries pose waste risk, warns supplier"
"06/10/2021, 11:21:28",Financial Times,"Europe risks falling behind China and US in renewables, warn industry chiefs "
"06/10/2021, 11:21:28",Financial Times,How ‘Creative destruction’ drives innovation and prosperity
"06/10/2021, 11:21:28",Financial Times,Outward bound: the last wallaby of the Peak District
"06/10/2021, 11:21:28",Financial Times,Film-maker Elia Suleiman on ‘the Palestinianisation of the globe’ 
"06/10/2021, 11:21:28",Financial Times,Keith Haring’s 1984 computer fantasy to tempt techies 
"06/10/2021, 11:21:28",Financial Times,Six films to watch this week
"06/10/2021, 11:21:28",Financial Times,Can Asian prosperity survive US-China rivalry?
"06/10/2021, 11:21:28",Financial Times,"US inflation, the true cost of zero commission trading"
"06/10/2021, 11:21:28",Financial Times,We know what you did during lockdown. An FT Film written by James Graham
"06/10/2021, 11:21:28",Financial Times,Why every Dogecoin has its day - crypto explained
"06/10/2021, 11:21:28",Financial Times,"Greensill: a tale of hubris, hype and greed "
"06/10/2021, 11:21:28",Financial Times,Tod's CEO Diego Della Valle plans for the future
"06/10/2021, 11:21:28",Financial Times,Exporting Chinese surveillance: the security risks of ‘smart cities’
"06/10/2021, 11:21:28",Financial Times,Indian tycoons surpass Chinese tech moguls in global rich list
"06/10/2021, 11:21:28",Financial Times,How do I move from international public to private sector?
"06/10/2021, 11:21:28",Financial Times,Copper boom: how clean energy is driving a commodities supercycle 
"06/10/2021, 11:21:28",Financial Times,FT business books: June edition
"06/10/2021, 11:21:28",Financial Times,Tether’s commercial paper disclosure places it among global giants
"06/10/2021, 11:21:28",Financial Times,China’s environmental goals fire up metals prices
"06/10/2021, 11:21:28",Financial Times,Global stocks loiter near highs ahead of US inflation data
"06/10/2021, 11:21:28",Financial Times,French music group Believe stumbles on market debut
"06/10/2021, 11:21:28",Financial Times,Shares in group linked to China’s Three Gorges Dam surge on debut
"06/10/2021, 11:21:28",Financial Times,UK competition regulator plans probe into Amazon’s use of data
"06/10/2021, 11:21:28",Financial Times,US resets China tech strategy 
"06/10/2021, 11:21:28",Financial Times,Fastly shares jump after outage takes down thousands of websites
"06/10/2021, 11:21:28",Financial Times,Fastly: failing upward cannot be a long-term strategy
"06/10/2021, 11:21:28",Reuters,Indian state sharply raises COVID-19 death toll prompting call for wide review
"06/10/2021, 11:21:28",Reuters,Biden warns Britain: Don’t imperil N.Irish peace
"06/10/2021, 11:21:28",Reuters,Analysis: The great British reopening: how investors are picking their bets
"06/10/2021, 11:21:28",Reuters,"Biden to donate 500 million Pfizer doses, urge others to join in"
"06/10/2021, 11:21:28",Reuters,"Tesla to launch high-end Model S ‘Plaid’ to fend off Mercedes, Porsche"
"06/10/2021, 11:21:28",Reuters,Wife of drug kingpin ‘El Chapo’ readies guilty plea in Washington
"06/10/2021, 11:21:28",Reuters,Meatpacker JBS says it paid equivalent of $11 mln in ransomware attack
"06/10/2021, 11:21:28",Reuters,Myanmar authorities open new corruption cases against Suu Kyi
"06/10/2021, 11:21:28",Reuters,Singapore to start easing COVID-19 restrictions after infections fall
"06/10/2021, 11:21:28",Reuters,AstraZeneca says working with Southeast Asian nations on vaccine deliveries
"06/10/2021, 11:21:28",Reuters,"Young voter anger over housing, jobs threatens Moon’s legacy in South Korea"
"06/10/2021, 11:21:28",Reuters,Rescuers search for survivors after Mumbai building collapse kills 11
"06/10/2021, 11:21:28",Reuters,"China, U.S. commerce chiefs to cooperate on handling differences, Beijing says"
"06/10/2021, 11:21:28",Reuters,"China's top banking regulator warns of bad debt, local real estate bubbles"
"06/10/2021, 11:21:28",Reuters,Alibaba to develop self-driving trucks with logistics unit Cainiao
"06/10/2021, 11:21:28",Reuters,"China arrests over 1,100 suspects in crackdown on crypto-related money laundering"
"06/10/2021, 11:21:28",Reuters,ECB to keep money taps wide open even as recovery takes hold
"06/10/2021, 11:21:28",Reuters,Billionaire's Altice group buys 12% BT stake but has no bid plans
"06/10/2021, 11:21:28",Reuters,Court outlaws Kremlin critic Navalny’s network in pre-election knockout
"06/10/2021, 11:21:28",Reuters,"Biden, Putin set to meet in 18th-century Swiss villa for summit"
"06/10/2021, 11:21:28",Reuters,CEOs and investors push world leaders for stronger climate action
"06/10/2021, 11:21:28",Reuters,"Airbus, Air France want EU green funds used for jet incentives - documents"
"06/10/2021, 11:21:28",Reuters,GM proposes a new route to California's emissions targets
"06/10/2021, 11:21:28",Reuters,UK's Drax signs deal with MHI for negative-emissions capture technology
"06/10/2021, 11:21:28",Reuters,"Bruised by border politics, some Biden officials cling to Trump restrictions"
"06/10/2021, 11:21:28",Reuters,U.S. senators push for infrastructure plan that avoids tax hikes
"06/10/2021, 11:21:28",Reuters,"Analysis: Biden ambitions on infrastructure, voting, guns hit Washington buzz saw"
"06/10/2021, 11:21:28",Reuters,Ex-White House lawyer was 'perturbed' by Trump effort to halt Russia probe -transcript
"06/10/2021, 11:21:28",Reuters,"U.S. blacklists four Nicaraguans, including Ortega's daughter"
"06/10/2021, 11:21:28",Reuters,"In a world first, El Salvador makes bitcoin legal tender"
"06/10/2021, 11:21:28",Reuters,"Guatemalan court charges retired soldiers for Civil War killings, disappearances"
"06/10/2021, 11:21:28",Reuters,"Mexico hails Harris after visit, flags more border talks"
"06/10/2021, 11:21:28",Reuters,ByteDance launches Volcano Engine brand to offer TikTok 'secret' to businesses
"06/10/2021, 11:21:28",Reuters,Bank regulators plan 'conservative' capital rule for bitcoin
"06/10/2021, 11:21:28",Reuters,British watchdog plans investigation into Amazon's use of data - FT
"06/10/2021, 11:21:28",Reuters,"EU foregoes 100 million J&J vaccines, considers donating other doses - sources"
"06/10/2021, 11:21:28",Reuters,Two Australian states on COVID-19 alert after infected woman’s interstate travel
"06/10/2021, 11:21:28",Reuters,Gig companies' push for state-level worker laws faces divided labor movement
"06/10/2021, 11:21:28",Reuters,"Traders Vitol, Mercantile join Rosneft's giant Vostok Oil project"
"06/10/2021, 11:21:28",Reuters,Exxon's board shakeup could force review of billions of dollars in spending
"06/10/2021, 11:21:28",Reuters,Shell to step up energy transition after landmark court ruling
"06/10/2021, 11:21:28",Reuters,Oil falls as start of U.S. summer driving season fails to lift fuel demand
"06/10/2021, 11:21:28",Reuters,Tokyo vaccination centre to offer shots to younger people as Olympics loom
"06/10/2021, 11:21:28",Reuters,"Novak Djokovic toils, will face Rafael Nadal in French semis"
"06/10/2021, 11:21:28",Reuters,Opportunity knocks for unlikely quartet in Paris
"06/10/2021, 11:21:28",Reuters,Japan's Olympic sponsors hire consultants to assess potential brand damage-FT
